,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d
,TIME,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos
,FRAME_NUMBERS,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC
,ORIGINAL,LAR,LAR,LAR,LAR,LAR,LAR,LFA,LFA,LFA,LSK,LSK,LSK,LTH,LTH,LTH,LTH,LTH,LTH,RAR,RAR,RAR,RAR,RAR,RAR,RFA,RFA,RFA,RSK,RSK,RSK,RTH,RTH,RTH,RTH,RTH,RTH
,,Elbow,Elbow,Elbow,Shoulder,Shoulder,Shoulder,Wrist,Wrist,Wrist,Ankle,Ankle,Ankle,Knee,Knee,Knee,Hip,Hip,Hip,Elbow,Elbow,Elbow,Shoulder,Shoulder,Shoulder,Wrist,Wrist,Wrist,Ankle,Ankle,Ankle,Knee,Knee,Knee,Hip,Hip,Hip
ITEM,X,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.85,2.619869,-0.054547,1.113124,2.572688,0.023675,1.473404,2.449263,-0.05679,0.901475,2.977362,0.129894,0.189774,2.63848,0.100162,0.492085,2.563644,0.121401,0.91858,2.683648,0.428103,1.093474,2.571167,0.386533,1.444715,2.594471,0.464308,0.848809,2.425455,0.213576,0.080825,2.442715,0.260085,0.516974,2.533989,0.276993,0.951126
20,0.858333,2.612848,-0.054531,1.115835,2.56293,0.024562,1.475556,2.444481,-0.057321,0.902263,2.963202,0.127924,0.194551,2.619675,0.098421,0.491762,2.552763,0.121921,0.919454,2.669896,0.429737,1.094557,2.559996,0.387196,1.446498,2.578664,0.465179,0.850577,2.42526,0.213326,0.081067,2.436992,0.260363,0.517396,2.522898,0.277661,0.952626
21,0.866667,2.60589,-0.054683,1.118477,2.553323,0.025384,1.477605,2.439714,-0.057924,0.903069,2.948564,0.126381,0.199374,2.600783,0.09676,0.491747,2.541913,0.122411,0.920496,2.656083,0.431522,1.095624,2.548826,0.38781,1.448236,2.562688,0.46607,0.85238,2.425071,0.213064,0.081267,2.431774,0.260658,0.517647,2.512022,0.278257,0.953943
22,0.875,2.599003,-0.05498,1.121018,2.543878,0.026141,1.479525,2.434947,-0.058597,0.903881,2.933409,0.125315,0.204144,2.581862,0.095168,0.492042,2.531102,0.122899,0.921698,2.642212,0.433462,1.096655,2.537671,0.388383,1.44991,2.546561,0.466969,0.854192,2.424895,0.212823,0.081411,2.426967,0.260961,0.517771,2.501421,0.278775,0.955086
23,0.883333,2.592192,-0.055388,1.123432,2.534601,0.026837,1.481299,2.43017,-0.059339,0.904687,2.917696,0.12468,0.208703,2.562964,0.09364,0.492639,2.520357,0.123395,0.923045,2.628287,0.435554,1.097638,2.526548,0.388921,1.451509,2.5303,0.467862,0.855998,2.424735,0.212629,0.0815,2.422497,0.261274,0.51781,2.491136,0.279213,0.95607
24,0.891667,2.585464,-0.055869,1.125706,2.525486,0.027477,1.482921,2.42538,-0.060146,0.905479,2.901374,0.124372,0.212857,2.544132,0.092176,0.493521,2.509724,0.123895,0.92452,2.614309,0.437788,1.098567,2.515479,0.38943,1.45303,2.513922,0.468739,0.857789,2.42459,0.212489,0.081544,2.41831,0.261597,0.517798,2.481178,0.27958,0.95692
25,0.9,2.578826,-0.056386,1.127835,2.516524,0.028069,1.484391,2.42058,-0.061016,0.906252,2.884386,0.12427,0.216408,2.525403,0.090784,0.494663,2.499251,0.124384,0.926099,2.600281,0.440149,1.09944,2.504486,0.389914,1.454476,2.497443,0.469586,0.859563,2.424459,0.212406,0.081556,2.414364,0.261928,0.517763,2.471518,0.279896,0.957666
26,0.908333,2.572282,-0.056901,1.129822,2.507697,0.028621,1.485718,2.415776,-0.061943,0.907001,2.86669,0.12425,0.219186,2.506805,0.089484,0.496041,2.488983,0.124832,0.927762,2.586206,0.442617,1.100264,2.493591,0.390374,1.455853,2.480878,0.470394,0.861325,2.424347,0.212386,0.081539,2.410629,0.262262,0.517727,2.462103,0.280185,0.958333
27,0.916667,2.565835,-0.057383,1.131679,2.498983,0.02914,1.486913,2.410977,-0.062921,0.907725,2.848284,0.124203,0.221095,2.488362,0.088296,0.497626,2.478957,0.125209,0.929482,2.57209,0.445172,1.101048,2.482815,0.390813,1.457173,2.464239,0.471155,0.863086,2.424262,0.21243,0.081496,2.407084,0.262594,0.517703,2.452874,0.280477,0.958938
28,0.925,2.559487,-0.057806,1.133419,2.49036,0.029635,1.487993,2.406201,-0.06394,0.908421,2.829218,0.124044,0.222122,2.470097,0.087239,0.499391,2.469194,0.125491,0.931231,2.557936,0.44779,1.1018,2.472174,0.391232,1.458446,2.44754,0.471863,0.864857,2.424204,0.212528,0.081432,2.403711,0.262918,0.517694,2.44378,0.280797,0.959485
